Source Country,Country,points,Total
France,Switzerland,4,356
France,Norway,8,334
France,Sweden,10,330
France,Azerbaijan,6,291
France,North Macedonia,7,292
France,Iceland,5,231
France,Czech Republic,3,152
France,Denmark,4,114
France,Slovenia,0,103
France,Cyprus,0,97
France,Malta,0,91
France,Serbia,0,91
France,Albania,0,88
France,Estonia,0,81
France,San Marino,0,78
France,Greece,0,71
France,Germany,0,32
France,Belarus,0,38
France,The Netherlands,17,492
Italy,Spain,0,58
Italy,Israel,0,46
Italy,United Kingdom,0,14
Italy,Australia,12,282
Italy,Russia,8,353
Italy,Switzerland,3,356
Italy,Norway,10,334
Italy,Sweden,2,330
Italy,Azerbaijan,7,291
Italy,North Macedonia,10,292
Italy,Iceland,7,231
Italy,Czech Republic,4,152
Italy,Denmark,16,114
Italy,Slovenia,0,103
Italy,France,5,100
Italy,Cyprus,0,97
Italy,Malta,8,91
Italy,Serbia,0,91
Italy,Albania,12,88
Italy,Estonia,5,81
Italy,San Marino,0,78
Italy,Greece,0,71
Italy,Germany,0,32
Italy,Belarus,0,38
Italy,The Netherlands,5,492
Serbia,Italy,17,461
Serbia,Spain,2,58
Serbia,Israel,0,46
Serbia,United Kingdom,0,14
Serbia,Australia,7,282
Serbia,Russia,8,353
Serbia,Switzerland,11,356
Serbia,Norway,4,334
Serbia,Sweden,8,330
Serbia,Azerbaijan,3,291
Serbia,North Macedonia,24,292
Serbia,Iceland,5,231
Serbia,Czech Republic,4,152
Serbia,Denmark,2,114
Serbia,Slovenia,10,103
Serbia,France,0,100
Serbia,Cyprus,0,97
Serbia,Malta,0,91
Serbia,Albania,0,88
Serbia,Estonia,6,81
Serbia,San Marino,0,78
Serbia,Greece,0,71
Serbia,Germany,0,32
Serbia,Belarus,0,38
Serbia,The Netherlands,3,492
Switzerland,Italy,17,461
Switzerland,Spain,5,58
Switzerland,Israel,0,46
Switzerland,United Kingdom,0,14
Switzerland,Australia,4,282
Switzerland,Russia,3,353
Switzerland,Norway,15,334
Switzerland,Sweden,12,330
Switzerland,Azerbaijan,0,291
Switzerland,North Macedonia,14,292
Switzerland,Iceland,0,231
Switzerland,Czech Republic,0,152
Switzerland,Denmark,0,114
Switzerland,Slovenia,0,103
Switzerland,France,5,100
Switzerland,Cyprus,0,97
Switzerland,Malta,0,91
Switzerland,Serbia,7,91
Switzerland,Albania,10,88
Switzerland,Estonia,0,81
Switzerland,San Marino,0,78
Switzerland,Greece,0,71
Switzerland,Germany,6,32
Switzerland,Belarus,0,38
Switzerland,The Netherlands,16,492
Australia,Italy,5,461
Australia,Spain,0,58
Australia,Israel,0,46
Australia,United Kingdom,0,14
Australia,Russia,4,353
Australia,Switzerland,7,356
Australia,Norway,12,334
Australia,Sweden,20,330
Australia,Azerbaijan,2,291
Australia,North Macedonia,7,292
Australia,Iceland,18,231
Australia,Czech Republic,7,152
Australia,Denmark,0,114
Australia,Slovenia,0,103
Australia,France,13,100
Australia,Cyprus,0,97
Australia,Malta,4,91
Australia,Serbia,0,91
Australia,Albania,0,88
Australia,Estonia,0,81
Australia,San Marino,0,78
Australia,Greece,0,71
Australia,Germany,3,32
Australia,Belarus,0,38
Australia,The Netherlands,12,492
Spain,Italy,16,461
Spain,Israel,0,46
Spain,United Kingdom,0,14
Spain,Australia,15,282
Spain,Russia,4,353
Spain,Switzerland,13,356
Spain,Norway,7,334
Spain,Sweden,18,330
Spain,Azerbaijan,7,291
Spain,North Macedonia,0,292
Spain,Iceland,3,231
Spain,Czech Republic,6,152
Spain,Denmark,0,114
Spain,Slovenia,0,103
Spain,France,4,100
Spain,Cyprus,5,97
Spain,Malta,0,91
Spain,Serbia,0,91
Spain,Albania,0,88
Spain,Estonia,0,81
Spain,San Marino,0,78
Spain,Greece,0,71
Spain,Germany,0,32
Spain,Belarus,0,38
Spain,The Netherlands,16,492
Austria,Italy,17,461
Austria,Spain,0,58
Austria,Israel,0,46
Austria,United Kingdom,0,14
Austria,Australia,3,282
Austria,Russia,5,353
Austria,Switzerland,22,356
Austria,Norway,8,334
Austria,Sweden,6,330
Austria,Azerbaijan,4,291
Austria,North Macedonia,12,292
Austria,Iceland,6,231
Austria,Czech Republic,3,152
Austria,Denmark,0,114
Austria,Slovenia,2,103
Austria,France,5,100
Austria,Cyprus,0,97
Austria,Malta,0,91
Austria,Serbia,6,91
Austria,Albania,0,88
Austria,Estonia,0,81
Austria,San Marino,0,78
Austria,Greece,0,71
Austria,Germany,0,32
Austria,Belarus,0,38
Austria,The Netherlands,15,492
Belgium,Italy,20,461
Belgium,Spain,6,58
Belgium,Israel,0,46
Belgium,United Kingdom,0,14
Belgium,Australia,8,282
Belgium,Russia,0,353
Belgium,Switzerland,12,356
Belgium,Norway,7,334
Belgium,Sweden,2,330
Belgium,Azerbaijan,0,291
Belgium,North Macedonia,0,292
Belgium,Iceland,13,231
Belgium,Czech Republic,5,152
Belgium,Denmark,0,114
Belgium,Slovenia,0,103
Belgium,France,18,100
Belgium,Cyprus,2,97
Belgium,Malta,0,91
Belgium,Serbia,0,91
Belgium,Albania,0,88
Belgium,Estonia,0,81
Belgium,San Marino,0,78
Belgium,Greece,3,71
Belgium,Germany,0,32
Belgium,Belarus,0,38
Belgium,The Netherlands,18,492
Croatia,Italy,24,461
Croatia,Spain,0,58
Croatia,Israel,0,46
Croatia,United Kingdom,0,14
Croatia,Australia,0,282
Croatia,Russia,2,353
Croatia,Switzerland,14,356
Croatia,Norway,5,334
Croatia,Sweden,5,330
Croatia,Azerbaijan,0,291
Croatia,North Macedonia,17,292
Croatia,Iceland,3,231
Croatia,Czech Republic,7,152
Croatia,Denmark,0,114
Croatia,Slovenia,10,103
Croatia,France,3,100
Croatia,Cyprus,0,97
Croatia,Malta,0,91
Croatia,Serbia,12,91
Croatia,Albania,0,88
Croatia,Estonia,0,81
Croatia,San Marino,2,78
Croatia,Greece,0,71
Croatia,Germany,0,32
Croatia,Belarus,0,38
Croatia,The Netherlands,10,492
Finland,Italy,8,461
Finland,Spain,0,58
Finland,Israel,0,46
Finland,United Kingdom,0,14
Finland,Australia,16,282
Finland,Russia,4,353
Finland,Switzerland,5,356
Finland,Norway,10,334
Finland,Sweden,19,330
Finland,Azerbaijan,2,291
Finland,North Macedonia,7,292
Finland,Iceland,12,231
Finland,Czech Republic,4,152
Finland,Denmark,0,114
Finland,Slovenia,6,103
Finland,France,0,100
Finland,Cyprus,0,97
Finland,Malta,0,91
Finland,Serbia,0,91
Finland,Albania,0,88
Finland,Estonia,8,81
Finland,San Marino,0,78
Finland,Greece,0,71
Finland,Germany,0,32
Finland,Belarus,0,38
Finland,The Netherlands,13,492
Georgia,Italy,0,461
Georgia,Spain,0,58
Georgia,Israel,4,46
Georgia,United Kingdom,0,14
Georgia,Australia,0,282
Georgia,Russia,8,353
Georgia,Switzerland,3,356
Georgia,Norway,0,334
Georgia,Sweden,8,330
Georgia,Azerbaijan,17,291
Georgia,North Macedonia,2,292
Georgia,Iceland,3,231
Georgia,Czech Republic,12,152
Georgia,Denmark,7,114
Georgia,Slovenia,4,103
Georgia,France,5,100
Georgia,Cyprus,18,97
Georgia,Malta,0,91
Georgia,Serbia,0,91
Georgia,Albania,0,88
Georgia,Estonia,0,81
Georgia,San Marino,10,78
Georgia,Greece,0,71
Georgia,Germany,0,32
Georgia,Belarus,0,38
Georgia,The Netherlands,13,492
Hungary,Italy,11,461
Hungary,Spain,0,58
Hungary,Israel,0,46
Hungary,United Kingdom,2,14
Hungary,Australia,0,282
Hungary,Russia,7,353
Hungary,Switzerland,8,356
Hungary,Norway,10,334
Hungary,Sweden,4,330
Hungary,Azerbaijan,7,291
Hungary,North Macedonia,10,292
Hungary,Iceland,12,231
Hungary,Czech Republic,12,152
Hungary,Denmark,6,114
Hungary,Slovenia,3,103
Hungary,France,0,100
Hungary,Cyprus,0,97
Hungary,Malta,0,91
Hungary,Serbia,0,91
Hungary,Albania,0,88
Hungary,Estonia,0,81
Hungary,San Marino,6,78
Hungary,Greece,0,71
Hungary,Germany,0,32
Hungary,Belarus,8,38
Hungary,The Netherlands,8,492
Ireland,Italy,4,461
Ireland,Spain,0,58
Ireland,Israel,0,46
Ireland,United Kingdom,3,14
Ireland,Australia,14,282
Ireland,Russia,8,353
Ireland,Switzerland,17,356
Ireland,Norway,18,334
Ireland,Sweden,14,330
Ireland,Azerbaijan,7,291
Ireland,North Macedonia,5,292
Ireland,Iceland,6,231
Ireland,Czech Republic,0,152
Ireland,Denmark,0,114
Ireland,Slovenia,0,103
Ireland,France,0,100
Ireland,Cyprus,0,97
Ireland,Malta,0,91
Ireland,Serbia,0,91
Ireland,Albania,0,88
Ireland,Estonia,0,81
Ireland,San Marino,0,78
Ireland,Greece,0,71
Ireland,Germany,2,32
Ireland,Belarus,0,38
Ireland,The Netherlands,16,492
Latvia,Italy,5,461
Latvia,Spain,0,58
Latvia,Israel,0,46
Latvia,United Kingdom,0,14
Latvia,Australia,6,282
Latvia,Russia,16,353
Latvia,Switzerland,0,356
Latvia,Norway,8,334
Latvia,Sweden,10,330
Latvia,Azerbaijan,10,291
Latvia,North Macedonia,8,292
Latvia,Iceland,7,231
Latvia,Czech Republic,3,152
Latvia,Denmark,7,114
Latvia,Slovenia,2,103
Latvia,France,0,100
Latvia,Cyprus,0,97
Latvia,Malta,0,91
Latvia,Serbia,0,91
Latvia,Albania,0,88
Latvia,Estonia,15,81
Latvia,San Marino,0,78
Latvia,Greece,0,71
Latvia,Germany,0,32
Latvia,Belarus,0,38
Latvia,The Netherlands,17,492
Lithuania,Italy,13,461
Lithuania,Spain,0,58
Lithuania,Israel,0,46
Lithuania,United Kingdom,0,14
Lithuania,Australia,2,282
Lithuania,Russia,12,353
Lithuania,Switzerland,2,356
Lithuania,Norway,8,334
Lithuania,Sweden,11,330
Lithuania,Azerbaijan,15,291
Lithuania,North Macedonia,0,292
Lithuania,Iceland,12,231
Lithuania,Czech Republic,7,152
Lithuania,Denmark,0,114
Lithuania,Slovenia,4,103
Lithuania,France,0,100
Lithuania,Cyprus,0,97
Lithuania,Malta,0,91
Lithuania,Serbia,0,91
Lithuania,Albania,0,88
Lithuania,Estonia,4,81
Lithuania,San Marino,0,78
Lithuania,Greece,0,71
Lithuania,Germany,5,32
Lithuania,Belarus,0,38
Lithuania,The Netherlands,19,492
Moldova,Italy,5,461
Moldova,Spain,0,58
Moldova,Israel,7,46
Moldova,United Kingdom,0,14
Moldova,Australia,10,282
Moldova,Russia,17,353
Moldova,Switzerland,4,356
Moldova,Norway,10,334
Moldova,Sweden,2,330
Moldova,Azerbaijan,16,291
Moldova,North Macedonia,12,292
Moldova,Iceland,0,231
Moldova,Czech Republic,10,152
Moldova,Denmark,4,114
Moldova,Slovenia,0,103
Moldova,France,0,100
Moldova,Cyprus,0,97
Moldova,Malta,0,91
Moldova,Serbia,0,91
Moldova,Albania,0,88
Moldova,Estonia,0,81
Moldova,San Marino,8,78
Moldova,Greece,0,71
Moldova,Germany,0,32
Moldova,Belarus,0,38
Moldova,The Netherlands,9,492
Montenegro,Italy,7,461
Montenegro,Spain,0,58
Montenegro,Israel,0,46
Montenegro,United Kingdom,0,14
Montenegro,Australia,4,282
Montenegro,Russia,20,353
Montenegro,Switzerland,0,356
Montenegro,Norway,0,334
Montenegro,Sweden,0,330
Montenegro,Azerbaijan,3,291
Montenegro,North Macedonia,13,292
Montenegro,Iceland,2,231
Montenegro,Czech Republic,0,152
Montenegro,Denmark,3,114
Montenegro,Slovenia,4,103
Montenegro,France,0,100
Montenegro,Cyprus,5,97
Montenegro,Malta,6,91
Montenegro,Serbia,24,91
Montenegro,Albania,15,88
Montenegro,Estonia,0,81
Montenegro,San Marino,8,78
Montenegro,Greece,0,71
Montenegro,Germany,0,32
Montenegro,Belarus,0,38
Montenegro,The Netherlands,0,492
Poland,Italy,7,461
Poland,Spain,0,58
Poland,Israel,0,46
Poland,United Kingdom,0,14
Poland,Australia,18,282
Poland,Russia,3,353
Poland,Switzerland,5,356
Poland,Norway,8,334
Poland,Sweden,0,330
Poland,Azerbaijan,4,291
Poland,North Macedonia,8,292
Poland,Iceland,15,231
Poland,Czech Republic,0,152
Poland,Denmark,5,114
Poland,Slovenia,14,103
Poland,France,6,100
Poland,Cyprus,0,97
Poland,Malta,4,91
Poland,Serbia,7,91
Poland,Albania,0,88
Poland,Estonia,0,81
Poland,San Marino,0,78
Poland,Greece,0,71
Poland,Germany,0,32
Poland,Belarus,0,38
Poland,The Netherlands,10,492
Portugal,Italy,13,461
Portugal,Spain,12,58
Portugal,Israel,0,46
Portugal,United Kingdom,0,14
Portugal,Australia,11,282
Portugal,Russia,10,353
Portugal,Switzerland,5,356
Portugal,Norway,10,334
Portugal,Sweden,2,330
Portugal,Azerbaijan,8,291
Portugal,North Macedonia,5,292
Portugal,Iceland,3,231
Portugal,Czech Republic,10,152
Portugal,Denmark,0,114
Portugal,Slovenia,3,103
Portugal,France,2,100
Portugal,Cyprus,0,97
Portugal,Malta,0,91
Portugal,Serbia,0,91
Portugal,Albania,0,88
Portugal,Estonia,0,81
Portugal,San Marino,0,78
Portugal,Greece,0,71
Portugal,Germany,0,32
Portugal,Belarus,0,38
Portugal,The Netherlands,20,492
Romania,Italy,8,461
Romania,Spain,0,58
Romania,Israel,3,46
Romania,United Kingdom,0,14
Romania,Australia,14,282
Romania,Russia,13,353
Romania,Switzerland,14,356
Romania,Norway,4,334
Romania,Sweden,0,330
Romania,Azerbaijan,16,291
Romania,North Macedonia,7,292
Romania,Iceland,5,231
Romania,Czech Republic,8,152
Romania,Denmark,0,114
Romania,Slovenia,0,103
Romania,France,0,100
Romania,Cyprus,0,97
Romania,Malta,0,91
Romania,Serbia,3,91
Romania,Albania,2,88
Romania,Estonia,0,81
Romania,San Marino,0,78
Romania,Greece,0,71
Romania,Germany,0,32
Romania,Belarus,0,38
Romania,The Netherlands,17,492
Belarus,Italy,3,461
Belarus,Spain,6,58
Belarus,Israel,12,46
Belarus,United Kingdom,5,14
Belarus,Australia,3,282
Belarus,Russia,0,353
Belarus,Switzerland,4,356
Belarus,Norway,15,334
Belarus,Sweden,0,330
Belarus,Azerbaijan,6,291
Belarus,North Macedonia,0,292
Belarus,Iceland,9,231
Belarus,Czech Republic,0,152
Belarus,Denmark,0,114
Belarus,Slovenia,5,103
Belarus,France,0,100
Belarus,Cyprus,0,97
Belarus,Malta,0,91
Belarus,Serbia,3,91
Belarus,Albania,0,88
Belarus,Estonia,10,81
Belarus,San Marino,5,78
Belarus,Greece,0,71
Belarus,Germany,8,32
Belarus,Belarus,10,38
Belarus,The Netherlands,12,492
Belarus,Russia,0,353
